Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite FalabellaAUT,Chrome 104.0.5112.81,,,2022-08-17 20:54:36,2022-08-17 20:55:21,"45,449s",PASSED
,,,,,,,
Test Cases/inicioSesion/01 - aperturaPagina,Chrome 104.0.5112.81,,,2022-08-17 20:54:36,2022-08-17 20:54:45,"8,634s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 20:54:37,2022-08-17 20:54:37,"0,010s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 20:54:37,2022-08-17 20:54:37,"0,005s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 20:54:37,2022-08-17 20:54:37,"0,006s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 20:54:37,2022-08-17 20:54:37,"0,247s",PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-17 20:54:37,2022-08-17 20:54:39,"2,500s",PASSED
"navigateToUrl(""https://www.falabella.com/falabella-cl"")",Chrome 104.0.5112.81,,,2022-08-17 20:54:39,2022-08-17 20:54:44,"4,654s",PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-17 20:54:44,2022-08-17 20:54:45,"0,547s",PASSED
"if (verifyElementPresent(findTestObject(""01 - Login/Page_falabellacom  Todo lo que necesitas en_591ae0/div_Logo_Falabella""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:54:45,2022-08-17 20:54:45,"0,269s",PASSED
,,,,,,,
Test Cases/inicioSesion/02 - PopUp articulo carrito,Chrome 104.0.5112.81,,,2022-08-17 20:54:45,2022-08-17 20:54:57,"12,506s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 20:54:45,2022-08-17 20:54:45,"0,001s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 20:54:45,2022-08-17 20:54:45,"0,001s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 20:54:45,2022-08-17 20:54:45,"0,001s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 20:54:45,2022-08-17 20:54:45,"0,002s",PASSED
textoItemCompra = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 20:54:45,2022-08-17 20:54:45,"0,001s",PASSED
textoPreCarro = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 20:54:45,2022-08-17 20:54:45,"0,002s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/div__dy-lb-close""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:54:45,2022-08-17 20:54:46,"0,450s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/button_Aceptar""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:54:46,2022-08-17 20:54:46,"0,351s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/img_banner_Envio_Gratis""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:54:46,2022-08-17 20:54:46,"0,231s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/b_SubText_1er_subtitulo""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:54:46,2022-08-17 20:54:57,"10,592s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/a_GIORGIO ARMANI""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:54:57,2022-08-17 20:54:57,"0,265s",PASSED
"Assert.assertEquals(textoPreCarro, textoItemCompra)",Chrome 104.0.5112.81,,,2022-08-17 20:54:57,2022-08-17 20:54:57,"0,010s",PASSED
,,,,,,,
Test Cases/inicioSesion/03 - AgregarAlCarro,Chrome 104.0.5112.81,,,2022-08-17 20:54:57,2022-08-17 20:54:59,"1,725s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 20:54:58,2022-08-17 20:54:58,"0,002s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 20:54:58,2022-08-17 20:54:58,"0,001s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 20:54:58,2022-08-17 20:54:58,"0,003s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 20:54:58,2022-08-17 20:54:58,"0,001s",PASSED
subPopupPreCarro = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 20:54:58,2022-08-17 20:54:58,"0,001s",PASSED
textoPreCarro = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 20:54:58,2022-08-17 20:54:58,"0,001s",PASSED
"if (verifyElementPresent(findTestObject(""01 - Login/Page_falabellacom  Todo lo que necesitas en_591ae0/div_Logo_Falabella""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:54:58,2022-08-17 20:54:58,"0,104s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/a_GIORGIO ARMANI""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:54:58,2022-08-17 20:54:58,"0,153s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/03 - AgregarAlCarro/Page_popup_agregar_carro/button_Agregar al Carro""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:54:58,2022-08-17 20:54:58,"0,295s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/03 - AgregarAlCarro/Page_popup_agregar_carro/span_Popup_GIORGIO ARMANI""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:54:58,2022-08-17 20:54:59,"0,844s",PASSED
"Assert.assertEquals(textoPreCarro, subPopupPreCarro)",Chrome 104.0.5112.81,,,2022-08-17 20:54:59,2022-08-17 20:54:59,"0,000s",PASSED
,,,,,,,
Test Cases/inicioSesion/04 - Revision carrito,Chrome 104.0.5112.81,,,2022-08-17 20:54:59,2022-08-17 20:55:07,"7,596s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 20:54:59,2022-08-17 20:54:59,"0,000s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 20:54:59,2022-08-17 20:54:59,"0,002s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 20:54:59,2022-08-17 20:54:59,"0,000s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 20:54:59,2022-08-17 20:54:59,"0,000s",PASSED
NumArticuloPopUp = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 20:54:59,2022-08-17 20:54:59,"0,001s",PASSED
NumArticuloCarrito = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 20:54:59,2022-08-17 20:54:59,"0,000s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/04 - Revision carrito/Page_Revision carrito/span_CodProdPopUp""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:54:59,2022-08-17 20:55:00,"0,644s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/03 - AgregarAlCarro/Page_popup_agregar_carro/button_popup_Seguir comprando""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:55:00,2022-08-17 20:55:01,"0,490s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/01 - Login/Page_falabellacom  Todo lo que necesitas en_591ae0/div_Logo_Falabella""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:55:01,2022-08-17 20:55:03,"2,228s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/04 - Revision carrito/Page_Revision carrito/i_CarroCompras""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:55:03,2022-08-17 20:55:06,"2,979s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/04 - Revision carrito/Page_Revision carrito/span_CodProd_Carrito""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:55:06,2022-08-17 20:55:07,"0,853s",PASSED
,,,,,,,
Test Cases/inicioSesion/05 - Continuar con la compra,Chrome 104.0.5112.81,,,2022-08-17 20:55:07,2022-08-17 20:55:21,"14,712s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 20:55:07,2022-08-17 20:55:07,"0,001s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 20:55:07,2022-08-17 20:55:07,"0,001s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 20:55:07,2022-08-17 20:55:07,"0,000s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 20:55:07,2022-08-17 20:55:07,"0,001s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/05 - Continuar con la compra/Page_Falabellacom/button_ContinuarCompraCarrito""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:55:07,2022-08-17 20:55:10,"3,282s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/05 - Continuar con la compra/Page_Falabellacom/input_Correo""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:55:10,2022-08-17 20:55:12,"1,629s",PASSED
delay(3),Chrome 104.0.5112.81,,,2022-08-17 20:55:12,2022-08-17 20:55:15,"3,021s",PASSED
"if (verifyElementPresent(findTestObject(""05 - Continuar con la compra/Page_Falabellacom/input_Popup_Calle""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:55:15,2022-08-17 20:55:21,"6,489s",PASSED
